nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
c środki pieniężne i inne aktywa pieniężne,Środki pieniężne i inne aktywa pieniężne,cash,,,
c) środki pieniężne i inne aktywa pieniężne,Środki pieniężne i inne aktywa pieniężne,cash,,,
c)środki pieniężne i inne aktywa pieniężne,Środki pieniężne i inne aktywa pieniężne,cash,,,
c/ środki pieniężne i inne aktywa pieniężne,Środki pieniężne i inne aktywa pieniężne,cash,,,
d) środki pieniężne i inne aktywa pieniężne,Środki pieniężne i inne aktywa pieniężne,cash,,,
środki pieniężne,Środki pieniężne i inne aktywa pieniężne,cash,nazwa generyczna - moze pasowac do wielu pozycji,,
Środki pieniężne i ekwiwalenty środków pieniężnych,Środki pieniężne i inne aktywa pieniężne,cash,,,
Środki pieniężne i inne aktywa pieniężne i ekwiwalenty środków pieniężnych,Środki pieniężne i inne aktywa pieniężne,cash,,,
Środki pieniężne i inne aktywa pieniężne i ich ekwiwalenty,Środki pieniężne i inne aktywa pieniężne,cash,,,
Środki pieniężne i inne aktywa pieniężnei ich ekwiwalenty,Środki pieniężne i inne aktywa pieniężne,cash,,,
Środki pieniężne netto (wykorzystane)/wygenerowane w działalności inwestycyjnej,Środki pieniężne i inne aktywa pieniężne,cash,,,
(Zakup) akcji własnych,Skup akcji własnych,change_in_bank_loans,,,
Na nabycie udziałów (akcji własnych),Skup akcji własnych,change_in_bank_loans,,,
Nabycie -/Sprzedaż + akcji własnych,Skup akcji własnych,change_in_bank_loans,,,
Nabycie akcji (udziałów) własnych,Skup akcji własnych,change_in_bank_loans,,,
Nabycie akcji i udziałów,Skup akcji własnych,change_in_bank_loans,,,
Nabycie akcji własnych w ramach programu motywacyjnego,Skup akcji własnych,change_in_bank_loans,,,
Nabycie akcji/udziałów własnych,Skup akcji własnych,change_in_bank_loans,,,
Nabycie udziałów (akcji) własnych,Skup akcji własnych,change_in_bank_loans,,,
"Skup akcji własnych, w tym koszty transakcyjne",Skup akcji własnych,change_in_bank_loans,,,
Wydatki na skup akcji własnych,Skup akcji własnych,change_in_bank_loans,,,
B Koszt własny sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"B Koszty sprzedanych produktów, towarów i materiałów",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
I Koszt wytworzenia sprzedanych produktów,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
II Koszt własny sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszt sprzedanych produktów, towarów i materiałów",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszt sprzedanych produktów,towarów i materiałów w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszt sprzedanych towarów,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszt sprzedanych towarów, produktów, materiałów i usług",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszt wytworzenia sprzedanych produktów i usług,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszt wytworzenia sprzedanych usług,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszt wytworzenia/nabycia sprzedanych produktów, towarów i materiałów",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszt własny,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,nazwa generyczna - moze pasowac do wielu pozycji,,
Koszt własny razem,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszt własny sprzedaży (koszt sprzedanych produktów, usług, towarów i materiałów)",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszt własny sprzedaży, w tym :",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszt własny sprzedaży, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty działalności operacyjnej,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
